date,spot_close,spot_volume,perp_volume,oi_usd
2024-09-08,54869.95,885743172.9184759,162129.46141680318,4646381864.989442
2024-09-09,57042.0,1809715390.0493293,313174.13096874906,4995037268.505648
2024-09-10,57635.99,1349365460.0900571,228360.6063814601,4968985528.950642
2024-09-11,57338.0,1875738697.378416,333408.28558255977,4919469035.164246
2024-09-12,58132.32,1802848638.0757017,261531.8398525793,4968849610.432559
2024-09-13,60498.0,1760671733.5492997,277497.93443298404,5406814533.354267
2024-09-14,59993.03,728527024.3416963,102612.61609917604,5245191335.338083
2024-09-15,59132.0,822410872.3906956,130550.63228245969,5101341499.229889
2024-09-16,58213.99,1543273198.7027452,250762.8382096789,4919899771.986659
2024-09-17,60313.99,1983378424.775704,318541.9985640116,5150176088.866371
2024-09-18,61759.99,2174000496.820776,355793.38302713865,5175466243.12338
2024-09-19,62947.99,2153175931.1738715,302451.6669480686,5487726132.708877
2024-09-20,63201.05,1611195963.9908044,257234.7807075829,5472439852.032529
2024-09-21,63348.96,528657852.3183024,78194.09774949471,5483706659.919096
2024-09-22,63578.76,897477338.3735127,149176.7556494841,5450569445.471019
2024-09-23,63339.99,1531015038.3680267,234075.5320230749,5634842075.0196905
2024-09-24,64262.7,1472720338.8562915,236879.1609291621,5857149063.333454
2024-09-25,63152.01,1135250828.2732148,184997.6836601945,5581454159.183367
2024-09-26,65173.99,1831204595.9448967,320625.7352784512,5749816633.885217
2024-09-27,65769.95,1448852210.3602211,226467.36252026213,5646409293.697258
2024-09-28,65858.0,600118483.1222521,92802.70680509471,5614548039.957313
2024-09-29,65602.01,547980013.7152303,88159.19980546743,5615148143.449788
2024-09-30,63327.59,1920250261.744216,296885.88916901744,5497389255.84113
2024-10-01,60805.78,2723672081.8326254,429927.24804300256,5125586394.30677
2024-10-02,60649.28,1928377637.836784,327094.078645503,5003019087.693777
2024-10-03,60752.71,1590773866.8074434,286115.1619839421,5130409886.174831
2024-10-04,62086.0,1311145630.5020497,234868.14306313312,5259018445.441078
2024-10-05,62058.0,484588468.3419123,74353.6330674423,5228726151.447274
2024-10-06,62819.91,555669634.4773514,96443.75483003444,5413148609.331323
2024-10-07,62224.0,1646315506.5791943,299037.19411354134,5178676113.767467
2024-10-08,62160.49,1230076253.818657,226306.9791274641,5340195852.7371
2024-10-09,60636.02,1234778807.5932417,217370.46625638084,5268395501.162051
2024-10-10,60326.39,1445604381.9363792,263030.28966865694,5177529826.576528
2024-10-11,62540.0,1462219576.849865,263774.7245716669,5473308707.945979
2024-10-12,63206.22,686978508.9887543,102816.69021969193,5646832812.016403
2024-10-13,62870.02,746564374.2082387,129736.91060939996,5391713333.322746
2024-10-14,66083.99,2450094472.813545,338357.9187676884,5712765465.785294
